Temperature (°C),Humidity (%),Soil Moisture (%),Soil pH,Nitrogen (kg/ha),Potassium (kg/ha),Phosphorus (kg/ha),Output
24.75,79.5,59.5,7.45,119,198.75,79.5,40
25,80,60,7.5,120,200,80,41
15,50,40,5.5,100,150,40,42
15.5,51,41,5.575,102.5,152.5,41,43
16,52,42,5.65,105,155,42,44
16.5,53,43,5.725,107.5,157.5,43,45
17,54,44,5.8,110,160,44,46
17.5,55,45,5.875,112.5,162.5,45,47
18,56,46,5.95,115,165,46,48
18.5,57,47,6.025,117.5,167.5,47,49
19,58,48,6.1,120,170,48,50
19.5,59,49,6.175,122.5,172.5,49,51
20,60,50,6.25,125,175,50,52
20.5,61,51,6.325,127.5,177.5,51,53
21,62,52,6.4,130,180,52,54
21.5,63,53,6.475,132.5,182.5,53,55
22,64,54,6.55,135,185,54,56
22.5,65,55,6.625,137.5,187.5,55,57
23,66,56,6.7,140,190,56,58
23.5,67,57,6.775,142.5,192.5,57,59
24,68,58,6.85,145,195,58,60
24.5,69,59,6.925,147.5,197.5,59,61
25,70,60,7,150,200,60,62
20,60,40,5,120,200,60,63
20.5,61,41,5.1,123,202.5,60.5,64
21,62,42,5.2,126,205,61,65
21.5,63,43,5.3,129,207.5,61.5,66
22,64,44,5.4,132,210,62,67
22.5,65,45,5.5,135,212.5,62.5,68
23,66,46,5.6,138,215,63,69
23.5,67,47,5.7,141,217.5,63.5,70
24,68,48,5.8,144,220,64,71
24.5,69,49,5.9,147,222.5,64.5,72
25,70,50,6,150,225,65,73
25.5,71,51,6.1,153,227.5,65.5,74
26,72,52,6.2,156,230,66,75
26.5,73,53,6.3,159,232.5,66.5,76
27,74,54,6.4,162,235,67,77
27.5,75,55,6.5,165,237.5,67.5,78
28,76,56,6.6,168,240,68,79
28.5,77,57,6.7,171,242.5,68.5,80
29,78,58,6.8,174,245,69,81
29.5,79,59,6.9,177,247.5,69.5,82
30,80,60,7,180,250,70,83
15,70,40,5.5,100,150,40,84
16,71,42,5.7,105,155,42,85
17,72,44,5.9,110,160,44,86
18,73,46,6.1,115,165,46,87
19,74,48,6.3,120,170,48,88
20,75,50,6.5,125,175,50,89
21,76,52,6.7,130,180,52,90
22,77,54,6.9,135,185,54,91
23,78,56,7.1,140,190,56,92
24,79,58,7.3,145,195,58,93
25,80,60,7.5,150,200,60,94
20,70,40,5,120,200,60,95
20.5,70.75,41,5.075,123,202.5,61,96
21,71.5,42,5.15,126,205,62,97
21.5,72.25,43,5.225,129,207.5,63,98
22,73,44,5.3,132,210,64,99
22.5,73.75,45,5.375,135,212.5,65,100
23,74.5,46,5.45,138,215,66,101
23.5,75.25,47,5.525,141,217.5,67,102
24,76,48,5.6,144,220,68,103
24.5,76.75,49,5.675,147,222.5,69,104
25,77.5,50,5.75,150,225,70,105
25.5,78.25,51,5.825,153,227.5,71,106
26,79,52,5.9,156,230,72,107
26.5,79.75,53,5.975,159,232.5,73,108
27,80.5,54,6.05,162,235,74,109
27.5,81.25,55,6.125,165,237.5,75,110
28,82,56,6.2,168,240,76,111
28.5,82.75,57,6.275,171,242.5,77,112
29,83.5,58,6.35,174,245,78,113
29.5,84.25,59,6.425,177,247.5,79,114
30,85,60,6.5,180,250,80,115
15,60,40,5.5,100,150,40,116
15.5,60.5,41,5.575,102.5,152.5,41,117
16,61,42,5.65,105,155,42,118
16.5,61.5,43,5.725,107.5,157.5,43,119
17,62,44,5.8,110,160,44,120
17.5,62.5,45,5.875,112.5,162.5,45,121
18,63,46,5.95,115,165,46,122
18.5,63.5,47,6.025,117.5,167.5,47,123
19,64,48,6.1,120,170,48,124
19.5,64.5,49,6.175,122.5,172.5,49,125
20,65,50,6.25,125,175,50,126
20.5,65.5,51,6.325,127.5,177.5,51,127
21,66,52,6.4,130,180,52,128
21.5,66.5,53,6.475,132.5,182.5,53,129
22,67,54,6.55,135,185,54,130
22.5,67.5,55,6.625,137.5,187.5,55,131
23,68,56,6.7,140,190,56,132
23.5,68.5,57,6.775,142.5,192.5,57,133
24,69,58,6.85,145,195,58,134
24.5,69.5,59,6.925,147.5,197.5,59,135
25,70,60,7,150,200,60,136
20,85,40,5,120,200,60,137
25.25,85.25,40.5,5.0375,121.5,201.25,60.5,138
20.25,85.5,41,5.075,123,202.5,61,139
25.5,85.75,41.5,5.1125,124.5,203.75,61.5,140
20.5,86,42,5.15,126,205,62,141
25.75,86.25,42.5,5.1875,127.5,206.25,62.5,142
20.75,86.5,43,5.225,129,207.5,63,143
26,86.75,43.5,5.2625,130.5,208.75,63.5,144
21,87,44,5.3,132,210,64,145
26.25,87.25,44.5,5.3375,133.5,211.25,64.5,146
21.25,87.5,45,5.375,135,212.5,65,147
26.5,87.75,45.5,5.4125,136.5,213.75,65.5,148
21.5,88,46,5.45,138,215,66,149
26.75,88.25,46.5,5.4875,139.5,216.25,66.5,150
21.75,88.5,47,5.525,141,217.5,67,151
27,88.75,47.5,5.5625,142.5,218.75,67.5,152
22,89,48,5.6,144,220,68,153
27.25,89.25,48.5,5.6375,145.5,221.25,68.5,154
22.25,89.5,49,5.675,147,222.5,69,155
27.5,89.75,49.5,5.7125,148.5,223.75,69.5,156
22.5,90,50,5.75,150,225,70,157
27.75,90.25,50.5,5.7875,151.5,226.25,70.5,158
22.75,90.5,51,5.825,153,227.5,71,159
28,90.75,51.5,5.8625,154.5,228.75,71.5,160
23,91,52,5.9,156,230,72,161
28.25,91.25,52.5,5.9375,157.5,231.25,72.5,162
23.25,91.5,53,5.975,159,232.5,73,163
28.5,91.75,53.5,6.0125,160.5,233.75,73.5,164
23.5,92,54,6.05,162,235,74,165
28.75,92.25,54.5,6.0875,163.5,236.25,74.5,166
23.75,92.5,55,6.125,165,237.5,75,167
29,92.75,55.5,6.1625,166.5,238.75,75.5,168
24,93,56,6.2,168,240,76,169
29.25,93.25,56.5,6.2375,169.5,241.25,76.5,170
24.25,93.5,57,6.275,171,242.5,77,171
29.5,93.75,57.5,6.3125,172.5,243.75,77.5,172
24.5,94,58,6.35,174,245,78,173
29.75,94.25,58.5,6.3875,175.5,246.25,78.5,174
24.75,94.5,59,6.425,177,247.5,79,175
30,94.75,59.5,6.4625,178.5,248.75,79.5,176
25,95,60,6.5,180,250,80,177
20,65,40,5.5,100,150,40,178
20.5,65.5,41,5.575,102.5,152.5,41,179
21,66,42,5.65,105,155,42,180
21.5,66.5,43,5.725,107.5,157.5,43,181
22,67,44,5.8,110,160,44,182
22.5,67.5,45,5.875,112.5,162.5,45,183
23,68,46,5.95,115,165,46,184
23.5,68.5,47,6.025,117.5,167.5,47,185
24,69,48,6.1,120,170,48,186
24.5,69.5,49,6.175,122.5,172.5,49,187
25,70,50,6.25,125,175,50,188
25.5,70.5,51,6.325,127.5,177.5,51,189
26,71,52,6.4,130,180,52,190
26.5,71.5,53,6.475,132.5,182.5,53,191
27,72,54,6.55,135,185,54,192
27.5,72.5,55,6.625,137.5,187.5,55,193
28,73,56,6.7,140,190,56,194
28.5,73.5,57,6.775,142.5,192.5,57,195
29,74,58,6.85,145,195,58,196
29.5,74.5,59,6.925,147.5,197.5,59,197
30,75,60,7,150,200,60,198
20,70,40,5,120,200,60,199
20.25,70.25,40.5,5.0375,121.5,201.25,60.5,200
20.5,70.5,41,5.075,123,202.5,61,201
20.75,70.75,41.5,5.1125,124.5,203.75,61.5,202
21,71,42,5.15,126,205,62,203
21.25,71.25,42.5,5.1875,127.5,206.25,62.5,204
21.5,71.5,43,5.225,129,207.5,63,205
21.75,71.75,43.5,5.2625,130.5,208.75,63.5,206
22,72,44,5.3,132,210,64,207
22.25,72.25,44.5,5.3375,133.5,211.25,64.5,208
22.5,72.5,45,5.375,135,212.5,65,209
22.75,72.75,45.5,5.4125,136.5,213.75,65.5,210
23,73,46,5.45,138,215,66,211
23.25,73.25,46.5,5.4875,139.5,216.25,66.5,212
23.5,73.5,47,5.525,141,217.5,67,213
23.75,73.75,47.5,5.5625,142.5,218.75,67.5,214
24,74,48,5.6,144,220,68,215
24.25,74.25,48.5,5.6375,145.5,221.25,68.5,216
24.5,74.5,49,5.675,147,222.5,69,217
24.75,74.75,49.5,5.7125,148.5,223.75,69.5,218
25,75,50,5.75,150,225,70,219
25.25,75.25,50.5,5.7875,151.5,226.25,70.5,220
25.5,75.5,51,5.825,153,227.5,71,221
25.75,75.75,51.5,5.8625,154.5,228.75,71.5,222
26,76,52,5.9,156,230,72,223
26.25,76.25,52.5,5.9375,157.5,231.25,72.5,224
26.5,76.5,53,5.975,159,232.5,73,225
26.75,76.75,53.5,6.0125,160.5,233.75,73.5,226
27,77,54,6.05,162,235,74,227
27.25,77.25,54.5,6.0875,163.5,236.25,74.5,228
27.5,77.5,55,6.125,165,237.5,75,229
27.75,77.75,55.5,6.1625,166.5,238.75,75.5,230
28,78,56,6.2,168,240,76,231
28.25,78.25,56.5,6.2375,169.5,241.25,76.5,232
28.5,78.5,57,6.275,171,242.5,77,233
28.75,78.75,57.5,6.3125,172.5,243.75,77.5,234
29,79,58,6.35,174,245,78,235
29.25,79.25,58.5,6.3875,175.5,246.25,78.5,236
29.5,79.5,59,6.425,177,247.5,79,237
29.75,79.75,59.5,6.4625,178.5,248.75,79.5,238
30,80,60,6.5,180,250,80,239
